x,y,yaw,steeringAngle,velocity,srate
2.35035,-166.627,1.51413,0.0297105,-19.9999,0.00964562
2.23709,-168.624,1.48441,0.0303771,-19.9999,0.00666659
2.06454,-170.617,1.45403,0.0308613,-20,0.00484202
1.83154,-172.603,1.42316,0.0311541,-19.9999,0.00292819
1.53733,-174.581,1.39199,0.0313629,-20,0.00208733
1.18163,-176.549,1.36062,0.0312917,-20,-0.00071149
0.764362,-178.505,1.32932,0.0308896,-20,-0.00402142
0.286085,-180.447,1.29842,0.0302171,-20,-0.00672521
-0.251959,-182.374,1.26819,0.0296483,-20,-0.00568748
-0.847972,-184.283,1.23854,0.0286898,-20,-0.00958535
-1.50033,-186.173,1.20984,0.0267338,-20,-0.0195596
-2.20667,-188.044,1.1831,0.0256546,-19.9999,-0.0107921
-2.96279,-189.896,1.15744,0.0244113,-19.9999,-0.0124329
-3.76616,-191.728,1.13302,0.0229979,-20,-0.0141338
-4.61401,-193.539,1.11002,0.0214168,-20,-0.0158108
-5.5033,-195.33,1.0886,0.0197073,-20,-0.0170955
-6.43075,-197.102,1.06889,0.0178796,-20,-0.0182773
-7.39295,-198.856,1.05101,0.0159446,-20,-0.0193493
-8.38634,-200.592,1.03506,0.0139141,-20,-0.020305
-9.40728,-202.311,1.02115,0.0118003,-20,-0.0211388
-10.4521,-204.017,1.00935,0.00961569,-20,-0.0218458
-11.5169,-205.71,0.99973,0.00808439,-20,-0.0153129
-12.5979,-207.392,0.991646,0.00650478,-19.9999,-0.0157961
-13.6926,-209.066,0.985141,0.00493677,-20,-0.0156801
-14.7981,-210.733,0.980204,0.00334953,-20,-0.0158724
-15.9118,-212.394,0.976855,0.0022128,-20,-0.0113673
-17.031,-214.052,0.974642,0.00115402,-20,-0.0105879
-18.154,-215.707,0.973488,5.31464e-05,-20,-0.0110087
-19.2788,-217.36,0.973435,-0.000953708,-20,-0.0100685
-20.4037,-219.014,0.974388,-0.00186178,-19.9999,-0.00908069
-21.5271,-220.669,0.97625,-0.0027129,-19.9999,-0.00851118
-22.6473,-222.325,0.978963,-0.00356207,-20,-0.00849173
-23.7631,-223.985,0.982525,-0.00437039,-20,-0.00808323
