step,x_exact,y_exact,yaw_exact,steeringAngle_exact,x_approx,y_approx,yaw_approx,steeringAngle_approx,error
69,-6.34277,9.37471,9.38574,0.117529,-6.29179,9.76924,9.36994,0.117529,0.222752
70,-7.09265,9.36138,9.44256,0.150379,-7.043,9.76783,9.4267,0.150379,0.228055
71,-7.8398,9.29601,9.51205,0.183228,-7.7929,9.71432,9.49613,0.183228,0.232607
72,-8.5782,9.16459,9.60092,0.232696,-8.53625,9.59452,9.5848,0.232696,0.235939
73,-9.29797,8.95383,9.70963,0.282164,-9.2637,9.3947,9.69327,0.282164,0.237572
74,-9.98462,8.65213,9.83876,0.331632,-9.9612,9.10259,9.82209,0.331632,0.236936
75,-10.6184,8.25105,9.98902,0.3811,-10.6093,8.70873,9.97197,0.3811,0.233379
76,-11.174,7.74729,10.1613,0.430568,-11.1827,8.20848,10.1438,0.430568,0.234973
77,-11.6213,7.1453,10.3565,0.480036,-11.6509,7.60464,10.3385,0.480036,0.244467
78,-11.9269,6.46036,10.576,0.529503,-11.9791,6.91057,10.5573,0.529503,0.25122
79,-12.0571,5.72175,10.8211,0.578971,-12.1314,6.15368,10.8017,0.578971,0.253158
80,-11.9836,4.97535,11.0936,0.628439,-12.0761,5.37848,11.0733,0.628439,0.247787
81,-11.7037,4.27957,11.3781,0.649045,-11.8053,4.6473,11.3576,0.649045,0.234665
82,-11.2324,3.69613,11.675,0.669651,-11.3315,4.02472,11.6543,0.669651,0.213872
83,-10.6057,3.28406,11.9847,0.690257,-10.6889,3.5737,11.9637,0.690257,0.186421
84,-9.8807,3.09213,12.3076,0.710863,-9.93387,3.34796,12.2864,0.710863,0.154506
85,-9.13296,3.15041,12.6442,0.731469,-9.14337,3.38316,12.6227,0.731469,0.121573
86,-8.4508,3.46211,12.995,0.752075,-8.40937,3.6879,12.9733,0.752075,0.13361
87,-7.92515,3.99708,13.3606,0.772681,-7.82905,4.23634,13.3386,0.772681,0.167681
88,-7.63197,4.6874,13.7356,0.785398,-7.48794,4.96104,13.7135,0.785398,0.208836
89,-7.61201,5.43714,14.1106,0.785398,-7.43597,5.76036,14.0885,0.785398,0.249632
90,-7.85399,6.14703,14.4657,0.758197,-7.66509,6.52241,14.4431,0.758197,0.282146
91,-8.31666,6.73731,14.802,0.730996,-8.1311,7.16176,14.7788,0.730996,0.305003
92,-8.94082,7.15316,15.1203,0.703795,-8.77099,7.61988,15.0967,0.703795,0.31828
93,-9.66023,7.36515,15.4214,0.676594,-9.51463,7.86558,15.3975,0.676594,0.323014
94,-10.4102,7.36654,15.7061,0.649393,-10.2939,7.89166,15.6818,0.649393,0.320708
95,-11.1336,7.16859,15.9751,0.622192,-11.0489,7.70985,15.9505,0.622192,0.312979
96,-11.7842,6.79534,16.2289,0.594991,-11.7313,7.34518,16.204,0.594991,0.301334
97,-12.3277,6.27859,16.4681,0.56779,-12.3057,6.83064,16.4429,0.56779,0.287057
98,-12.7423,5.65355,16.6932,0.540589,-12.749,6.20262,16.6677,0.540589,0.277902
99,-13.0241,4.95854,16.8935,0.490589,-13.0567,5.50245,16.8673,0.490589,0.288216
100,-13.1794,4.22478,17.0703,0.44059,-13.2355,4.76218,17.0435,0.44059,0.296752
101,-13.2199,3.47588,17.2247,0.39059,-13.298,4.00594,17.1974,0.39059,0.304085
102,-13.1609,2.72821,17.3576,0.340591,-13.2599,3.25035,17.3299,0.340591,0.310601
