x,y,yaw,steeringAngle,velocity,srate
-140.206,92.4779,-0.504422,0.0520133,-5.42,0.0032159
-140.68,92.7399,-0.51853,0.0522746,-5.42,0.0026131
-141.14,93.0021,-0.532374,0.0525963,-5.29154,0.00321694
-141.574,93.2578,-0.545634,0.0528327,-5.03758,0.002364
-141.98,93.5045,-0.558204,0.0529531,-4.75432,0.00120452
-142.361,93.7424,-0.570106,0.0530081,-4.49088,0.000549886
-142.721,93.9731,-0.581444,0.0530251,-4.27396,0.00016986
-143.039,94.1818,-0.591529,0.0530264,-3.8,1.28054e-05
-143.354,94.3937,-0.601613,0.0530177,-3.8,-8.69765e-05
-143.667,94.6088,-0.611696,0.0529998,-3.8,-0.000178898
-143.978,94.827,-0.621775,0.0529735,-3.8,-0.000262984
-144.256,95.0256,-0.630817,0.0529019,-3.41034,-0.000716128
-144.543,95.2354,-0.640232,0.0526835,-3.55636,-0.00218337
-144.809,95.4334,-0.64897,0.0524986,-3.31405,-0.00184998
-145.06,95.6242,-0.657269,0.0523236,-3.15858,-0.00174943
-145.306,95.814,-0.665403,0.052116,-3.10649,-0.0020758
-145.544,96.0004,-0.673277,0.0518942,-3.01902,-0.00221826
-145.773,96.1835,-0.680903,0.0516591,-2.93609,-0.00235125
-145.995,96.3633,-0.688287,0.0514115,-2.85619,-0.00247551
-146.21,96.5398,-0.695434,0.0511528,-2.7782,-0.00258687
-146.417,96.7127,-0.702343,0.0508847,-2.69876,-0.00268164
-146.606,96.8731,-0.708664,0.0506839,-2.48234,-0.00200771
-146.789,97.0297,-0.714771,0.0504761,-2.40761,-0.00207829
-146.966,97.1829,-0.720674,0.0502604,-2.33694,-0.00215666
-147.143,97.3386,-0.726608,0.0499582,-2.35938,-0.00302171
-147.313,97.4899,-0.7323,0.0496458,-2.27708,-0.00312428
-147.477,97.6369,-0.737763,0.0493248,-2.19878,-0.00321046
-147.634,97.7798,-0.743008,0.0489951,-2.1249,-0.00329686
-147.785,97.9187,-0.748041,0.0486573,-2.05314,-0.00337742
-147.931,98.0537,-0.752875,0.0483075,-1.98516,-0.00349854
-148.054,98.1695,-0.756966,0.0481346,-1.69251,-0.0017289
-148.173,98.282,-0.760914,0.047959,-1.63919,-0.00175639
-148.288,98.3915,-0.764725,0.0477802,-1.5879,-0.00178715
-148.399,98.4976,-0.768388,0.047599,-1.5322,-0.00181279
-148.504,98.5991,-0.771867,0.0474211,-1.46082,-0.00177831
-148.603,98.6952,-0.775134,0.0472502,-1.37674,-0.001709
-148.695,98.7853,-0.77818,0.0470875,-1.28826,-0.00162697
-148.78,98.8696,-0.781009,0.0469335,-1.20089,-0.00154015
-148.86,98.9484,-0.783638,0.0467879,-1.11931,-0.00145591
-148.934,99.022,-0.78608,0.0466505,-1.04315,-0.00137451
-149.002,99.0908,-0.788349,0.0465209,-0.972078,-0.00129617
-149.066,99.1551,-0.790458,0.0463988,-0.90576,-0.001221
-149.126,99.2152,-0.792421,0.0462827,-0.845923,-0.0011606
-149.196,99.2867,-0.794746,0.0459949,-1.00387,-0.00287802
-149.261,99.3524,-0.796867,0.0457262,-0.921676,-0.00268718
-149.32,99.4129,-0.798802,0.0454766,-0.845415,-0.0024956
-149.374,99.4685,-0.800568,0.0452429,-0.776502,-0.0023369
-149.424,99.5197,-0.802182,0.0450245,-0.712764,-0.00218472
-149.469,99.5667,-0.803655,0.0448206,-0.653779,-0.00203836
-149.511,99.6099,-0.804999,0.0446307,-0.599504,-0.00189944
-149.549,99.6495,-0.806227,0.0444537,-0.549999,-0.00176954
-149.578,99.6806,-0.807185,0.0443623,-0.430679,-0.000913782
-149.611,99.7143,-0.808222,0.0442123,-0.466993,-0.00150023
-149.64,99.7453,-0.80917,0.0440714,-0.428648,-0.00140951
-149.668,99.7738,-0.810037,0.0439388,-0.393295,-0.00132606
-149.693,99.8001,-0.810835,0.0438144,-0.3631,-0.0012435
-149.715,99.8241,-0.811561,0.043697,-0.33089,-0.00117442
-149.736,99.8461,-0.812224,0.0435882,-0.303619,-0.00108803
-149.755,99.8663,-0.812832,0.0434845,-0.27847,-0.00103717
-149.773,99.8849,-0.813388,0.0433856,-0.255528,-0.000988313
-149.789,99.9016,-0.813888,0.0432964,-0.230676,-0.000892086
-149.804,99.9173,-0.814356,0.0432059,-0.216121,-0.000905205
-149.818,99.9323,-0.814803,0.043111,-0.206344,-0.000948769
-149.83,99.9457,-0.815199,0.0430267,-0.183953,-0.000843531
-149.841,99.9568,-0.815527,0.0429736,-0.152356,-0.000530261
-149.851,99.9674,-0.815841,0.0429077,-0.146135,-0.000659549
-149.856,99.9723,-0.815986,0.0429052,-0.0671289,-2.52944e-05
-149.86,99.9769,-0.81612,0.0429028,-0.0624666,-2.35508e-05
-149.864,99.9811,-0.816244,0.0429006,-0.0581275,-2.19263e-05
-149.867,99.9851,-0.81636,0.0428986,-0.0540895,-2.0413e-05
-149.871,99.9887,-0.816469,0.0428967,-0.0503316,-1.90033e-05
-149.874,99.9921,-0.816569,0.0428949,-0.0468345,-1.76903e-05
-149.877,99.9953,-0.816663,0.0428932,-0.0435801,-1.64675e-05
-149.88,99.9983,-0.81675,0.0428917,-0.0405516,-1.53287e-05
-149.882,100.001,-0.816831,0.0428903,-0.0377333,-1.42682e-05
-149.886,100.004,-0.816928,0.0428862,-0.0453986,-4.04421e-05
-149.889,100.008,-0.817047,0.042872,-0.0556747,-0.000141981
-149.892,100.012,-0.817142,0.0428662,-0.0438953,-5.82177e-05
-149.896,100.016,-0.817258,0.0428495,-0.0544367,-0.000166957
-149.9,100.02,-0.817379,0.042828,-0.0561012,-0.0002155
-149.902,100.022,-0.817457,0.0428247,-0.0364399,-3.26525e-05
-149.905,100.025,-0.817523,0.0428219,-0.0311169,-2.78917e-05
-149.907,100.027,-0.817606,0.0428128,-0.0384834,-9.08441e-05
-149.91,100.03,-0.817677,0.0428082,-0.033405,-4.67231e-05
-149.912,100.033,-0.817756,0.0428008,-0.0369195,-7.3526e-05
-149.915,100.036,-0.817855,0.0427842,-0.0458151,-0.000165677
-149.916,100.037,-0.817879,0.0427835,-0.0114392,-7.20447e-06
-149.916,100.037,-0.81789,0.0427835,-0.00504053,-4.18404e-07
-149.917,100.037,-0.817897,0.0427835,-0.00331515,0
-149.917,100.037,-0.817902,0.0427835,-0.0022974,-1.97706e-16
-149.917,100.038,-0.817905,0.0427835,-0.00159209,-1.37014e-16
-149.917,100.038,-0.817908,0.0427835,-0.00110331,0
-149.917,100.038,-0.817909,0.0427835,-0.000764592,0
-149.917,100.038,-0.81791,0.0427835,-0.000529858,-4.56016e-17
-149.917,100.038,-0.817911,0.0427835,-0.000367189,0
-149.917,100.038,-0.817912,0.0427835,-0.00025446,-2.19e-17
-149.917,100.038,-0.817912,0.0427835,-0.000176339,0
-149.917,100.038,-0.817912,0.0427835,-0.000122202,-1.05173e-17
-149.917,100.038,-0.817913,0.0427835,-8.4685e-05,-7.28847e-17
-149.917,100.038,-0.817913,0.0427835,-5.86862e-05,-5.05087e-18
-149.917,100.038,-0.817913,0.0427835,-4.06691e-05,-3.50022e-17
-149.917,100.038,-0.817913,0.0427835,-2.81835e-05,-2.42563e-18
